Biography,Category,Spacy_NER,Stanza_NER
Cai Xuzhe (Chinese: 蔡旭哲; born May 1976) is a Chinese People's Liberation Army Astronaut Corps (PLAAC) taikonaut selected as part of the Shenzhou program.,Astronauts,"[('Bernard Daniel Jacques Loiseau', 'PERSON'), ('French', 'NORP'), ('13 January 1951', 'DATE'), ('24 February 2003', 'DATE'), ('French', 'NORP'), ('Le Relais Bernard Loiseau', 'ORG'), ('Saulieu', 'LOC'), ('three', 'CARDINAL'), ('the Michelin Guide', 'ORG'), ('19.5/20', 'CARDINAL'), ('Gault Millau', 'ORG'), ('French', 'NORP'), ('between the 1980s and 1990s', 'DATE'), ('2003', 'DATE'), ('the Relais & Châteaux association', 'ORG'), ('Loiseau', 'PERSON'), ('19/20 to 17/20', 'CARDINAL'), ('Gault', 'ORG'), ('Millau', 'ORG'), ('François Simon', 'PERSON'), ('Le Figaro', 'FAC'), ('three', 'CARDINAL'), ('the Michelin Guide', 'ORG'), ('Michelin', 'PERSON')]","[('Bernard Daniel Jacques Loiseau', 'PERSON'), ('French', 'NORP'), ('13 January 1951', 'DATE'), ('24 February 2003', 'DATE'), ('French', 'NORP'), ('Le Relais Bernard Loiseau', 'FAC'), ('Saulieu', 'GPE'), ('three', 'CARDINAL'), ('the Michelin Guide', 'WORK_OF_ART'), ('19.5/20', 'CARDINAL'), ('Gault Millau', 'FAC'), ('one', 'CARDINAL'), ('French', 'NORP'), ('1980s', 'DATE'), ('1990s', 'DATE'), ('2003', 'DATE'), ('the Relais & Châteaux association', 'ORG'), ('Loiseau', 'PERSON'), ('19/20 to 17/20', 'DATE'), ('Gault et Millau', 'ORG'), ('François Simon', 'PERSON'), ('Le Figaro', 'WORK_OF_ART'), ('three', 'CARDINAL'), ('the Michelin Guide', 'WORK_OF_ART'), ('Michelin', 'ORG')]"
"Carl Erwin Walz (Colonel, USAF, Ret.) (born 6 September 1955) is a retired NASA astronaut currently working for Orbital Sciences Corporation's Advanced Programs Group as vice president for Human Space Flight Operations. Walz was formerly assigned to the Exploration Systems Mission Directorate at NASA Headquarters in Washington, D.C. He was the Acting Director for the Advanced Capabilities Division in the Exploration Systems Mission Directorate, and was responsible for a broad range of activities to include Human Research, Technology Development, Nuclear Power and Propulsion and the Lunar Robotic Exploration Programs to support the Vision for Space Exploration.",Astronauts,"[('Robert Earl Deen', 'PERSON'), ('April 28, 1970', 'DATE'), ('American', 'NORP'), ('second', 'ORDINAL'), ('Paula Deen', 'PERSON'), ('Jamie', 'PERSON'), ('The Lady & Sons', 'ORG'), ('Savannah', 'GPE'), ('Georgia', 'GPE'), ('Paula', 'PERSON'), ('Home Cooking', 'ORG'), (""Paula's Party"", 'ORG')]","[('Robert Earl Deen', 'PERSON'), ('April 28 , 1970', 'DATE'), ('American', 'NORP'), ('second', 'ORDINAL'), ('Paula Deen', 'PERSON'), ('Jamie', 'PERSON'), ('The Lady & Sons', 'ORG'), ('Savannah', 'GPE'), ('Georgia', 'GPE'), ('Paula', 'PERSON'), ('Home Cooking', 'WORK_OF_ART'), (""Paula 's Party"", 'ORG')]"
"Carl Joseph Meade (born November 16, 1950) is a former NASA astronaut.",Astronauts,"[('Paul Desmond Scully-Power', 'PERSON'), ('May 28, 1944', 'DATE'), ('Australian', 'NORP'), ('1984', 'DATE'), ('the United States', 'GPE'), ('Undersea Warfare Center', 'PERSON'), ('NASA', 'ORG'), ('first', 'ORDINAL'), ('Australian', 'NORP'), ('first', 'ORDINAL'), ('the Order of Australia', 'ORG'), ('2004', 'DATE'), ('Australia Day Honours', 'EVENT')]","[('Paul Desmond', 'PERSON'), ('Scully - Power', 'ORG'), ('AM GOSE FRAeS', 'ORG'), ('May 28 , 1944', 'DATE'), ('Australian - American', 'NORP'), ('1984', 'DATE'), ('the United States Naval Undersea Warfare Center', 'FAC'), ('NASA Space Shuttle', 'ORG'), ('STS-41 - G', 'PRODUCT'), ('first', 'ORDINAL'), ('Australian', 'NORP'), ('first', 'ORDINAL'), ('Scully - Power', 'ORG'), ('the Order of Australia', 'ORG'), ('AM', 'ORG'), ('2004', 'DATE'), ('Australia Day Honours', 'EVENT')]"
"Carlos Ismael Noriega (born 8 October 1959) is a Peruvian-American NASA employee, a former NASA astronaut and a retired U.S. Marine Corps lieutenant colonel.",Astronauts,"[('Joseph', 'PERSON'), ('Johnson', 'PERSON'), ('August 1, 1984', 'DATE'), ('the African Diaspora', 'GPE'), ('Tasty', 'PRODUCT'), ('Cleo TV', 'ORG'), ('Ingrained Hospitality Concepts', 'ORG'), ('FIELDTRIP', 'ORG'), ('Harlem', 'LOC'), ('Caribbean', 'LOC'), ('R+B', 'PERSON'), ('first', 'ORDINAL'), ('2018', 'DATE'), ('Between Harlem and Heaven: Afro-Asian-American Cooking for Big Nights', 'WORK_OF_ART'), ('Weeknights', 'DATE'), ('the James Beard Impact Programs Advisory Committee', 'ORG'), ('Food Bank for New York City', 'ORG')]","[(""Joseph ' JJ ' Johnson"", 'PERSON'), ('August 1 , 1984', 'DATE'), ('African', 'NORP'), ('Buzzfeed', 'ORG'), ('Just Eats with Chef JJ', 'WORK_OF_ART'), (""TV One 's"", 'ORG'), ('Cleo TV', 'ORG'), ('JJ', 'PERSON'), ('Ingrained Hospitality Concepts LLC', 'ORG'), ('FIELDTRIP', 'ORG'), ('Harlem', 'GPE'), ('JJ', 'PERSON'), ('Caribbean', 'NORP'), ('JJ', 'PERSON'), ('first', 'ORDINAL'), ('2018', 'DATE'), ('Between Harlem and Heaven : Afro - Asian - American Cooking for Big Nights', 'WORK_OF_ART'), ('Weeknights', 'WORK_OF_ART'), ('Every Day', 'WORK_OF_ART'), ('the James Beard Impact Programs Advisory Committee', 'ORG'), ('Food Bank', 'ORG'), ('New York City', 'GPE')]"
Pyotr Valerievich Dubrov (Russian: Пётр Валерьевич Дубров; born 30 January 1978) is a Russian engineer and cosmonaut selected by Roscosmos in 2012.,Astronauts,"[('William Barton Bridgeman', 'PERSON'), ('June 25, 1916 – September 29, 1968', 'DATE'), ('American', 'NORP'), ('the Douglas Aircraft Company', 'ORG'), ('July 1951', 'DATE'), ('the United States Navy', 'ORG'), ('Bridgeman', 'PERSON'), ('August 15 of the same year', 'DATE'), ('Mach 1.88', 'ORG'), ('79,494 feet', 'QUANTITY'), ('24,230', 'CARDINAL'), ('Bridgeman', 'PERSON'), ('Ottumwa', 'GPE'), ('Iowa', 'GPE'), ('Malibu', 'GPE'), ('California', 'GPE'), ('Bachelor of Science', 'ORG'), ('the University of California', 'ORG'), ('the United States Navy', 'ORG'), ('Pensacola', 'ORG'), ('1941', 'DATE'), ('Pearl Harbor', 'FAC'), ('Japanese', 'NORP'), ('December 7', 'DATE'), ('New Guinea', 'GPE'), ('Australia', 'GPE'), ('four', 'CARDINAL'), ('Privateer', 'PERSON'), ('VP/VPB-109', 'ORG'), ('August 1944', 'DATE'), ('the end of the war', 'DATE'), ('two years', 'DATE'), ('Pearl Harbor', 'FAC'), ('the West Coast', 'LOC'), ('Navy', 'ORG'), ('1947', 'DATE'), ('Bridgeman', 'PERSON'), ('Southwest Airways', 'ORG'), ('West Coast', 'LOC'), ('Pacific Air Lines', 'ORG'), ('today', 'DATE'), ('Southwest', 'LOC'), ('DC-3s', 'ORG'), ('San Francisco', 'GPE'), ('Seattle', 'GPE'), ('1949', 'DATE'), ('Douglas', 'PERSON'), ('Navy', 'ORG'), ('A few months later', 'DATE'), ('D-558 II Skyrocket', 'PRODUCT'), ('one', 'CARDINAL'), ('first', 'ORDINAL'), ('Bridgeman', 'PERSON'), ('F-80', 'PRODUCT'), ('early 1950', 'DATE'), ('Skyrocket', 'ORG'), ('Mach', 'PERSON'), ('May 1951', 'DATE'), ('Mach 1.72', 'ORG'), ('Mach 1.88', 'ORG'), ('1,245 mph', 'QUANTITY'), ('1,992 km', 'QUANTITY'), ('the next month', 'DATE'), ('79,494 ft', 'QUANTITY'), ('24,230', 'CARDINAL'), ('Skyrocket', 'ORG'), ('Bridgeman', 'PERSON'), ('one', 'CARDINAL'), ('first', 'ORDINAL'), ('the 1950s', 'DATE'), ('the April 27, 1953', 'DATE'), ('Time', 'ORG'), ('the You Bet Your Life', 'ORG'), ('October 29, 1952', 'DATE'), ('Douglas', 'PERSON'), ('the X-3 Stiletto', 'WORK_OF_ART'), ('1955', 'DATE'), ('Jacqueline Hazard', 'PERSON'), ('the United States', 'GPE'), ('August 1, 1958', 'DATE'), ('NASA', 'ORG'), ('Project Mercury', 'ORG'), ('Bridgeman', 'PERSON'), ('Grumman Aircraft', 'ORG'), ('September 1968', 'DATE'), ('Los Angeles', 'GPE'), ('Santa Catalina Island', 'GPE'), ('Grumman Goose', 'ORG'), ('the Pacific Ocean', 'LOC')]","[('William Barton Bridgeman', 'PERSON'), ('June 25 , 1916', 'DATE'), ('September 29 , 1968', 'DATE'), ('American', 'NORP'), ('the Douglas Aircraft Company', 'ORG'), ('July 1951', 'DATE'), ('the United States Navy', 'ORG'), ('D-558 - II Skyrocket', 'PRODUCT'), ('Bridgeman', 'ORG'), ('August 15 of the same year', 'DATE'), ('Mach 1.88', 'MONEY'), ('79,494 feet', 'QUANTITY'), ('24,230 m', 'QUANTITY'), ('Bridgeman', 'PERSON'), ('Ottumwa', 'GPE'), ('Iowa', 'GPE'), ('Malibu', 'GPE'), ('California', 'GPE'), ('Bachelor of Science degree', 'WORK_OF_ART'), ('the University of California', 'ORG'), ('the United States Navy', 'ORG'), ('Pensacola', 'GPE'), ('1941', 'DATE'), ('Pearl Harbor', 'FAC'), ('Japanese', 'NORP'), ('December 7', 'DATE'), ('PBY', 'PRODUCT'), ('New Guinea', 'GPE'), ('Australia', 'GPE'), ('four', 'CARDINAL'), ('PB4Y-2', 'PRODUCT'), ('Privateer', 'PRODUCT'), ('VP / VPB-109', 'ORG'), ('the "" Reluctant Raiders ""', 'ORG'), ('August 1944', 'DATE'), ('two years', 'DATE'), ('Pearl Harbor', 'FAC'), ('the West Coast', 'LOC'), ('Navy', 'ORG'), ('1947', 'DATE'), ('Bridgeman', 'ORG'), ('Southwest Airways', 'ORG'), ('West Coast', 'LOC'), ('Pacific Air Lines', 'ORG'), ('today', 'DATE'), ('Southwest', 'LOC'), ('San Francisco', 'GPE'), ('Seattle', 'GPE'), ('1949', 'DATE'), ('Douglas', 'PERSON'), ('A-1', 'PRODUCT'), ('Navy', 'ORG'), ('A few months later', 'DATE'), ('the D-558 II Skyrocket', 'PRODUCT'), ('one', 'CARDINAL'), ('first', 'ORDINAL'), ('Bridgeman', 'ORG'), ('F-80', 'FAC'), ('early 1950', 'DATE'), ('Skyrocket', 'PRODUCT'), ('Mach', 'PRODUCT'), ('May 1951', 'DATE'), ('Mach 1.72', 'MONEY'), ('Mach 1.88', 'QUANTITY'), ('1,245 mph', 'QUANTITY'), ('1,992 km / h', 'QUANTITY'), ('the next month', 'DATE'), ('79,494 ft', 'QUANTITY'), ('24,230 m', 'QUANTITY'), ('Skyrocket', 'ORG'), ('NACA', 'ORG'), ('Bridgeman', 'PERSON'), ('one', 'CARDINAL'), ('first', 'ORDINAL'), ('the 1950s', 'DATE'), ('April 27 , 1953', 'DATE'), ('Time', 'ORG'), ('You Bet Your Life', 'WORK_OF_ART'), ('October 29 , 1952', 'DATE'), ('Douglas', 'PERSON'), ('the X-3 Stiletto', 'PRODUCT'), ('1955', 'DATE'), ('Skyraider', 'PRODUCT'), ('Skyrocket', 'PRODUCT'), ('The Lonely Sky', 'WORK_OF_ART'), ('Jacqueline Hazard', 'PERSON'), ('United States Air Force', 'ORG'), ('August 1 , 1958', 'DATE'), ('NASA', 'ORG'), ('Project Mercury', 'ORG'), ('Bridgeman', 'ORG'), ('Grumman Aircraft', 'ORG'), ('September 1968', 'DATE'), ('Los Angeles', 'GPE'), ('Santa Catalina Island', 'GPE'), ('Grumman Goose', 'PRODUCT'), ('the Pacific Ocean', 'LOC')]"
"Pyotr Ilyich Klimuk (Belarusian: Пётр Ільіч Кліму́к; Russian: Пётр Ильич Климу́к; born 10 July 1942) is a former Soviet cosmonaut and the first Belarusian to perform space travel. Klimuk made three flights into space. Klimuk attended the Leninski Komsomol Chernigov High Aviation School and entered the Soviet Air Force in 1964. The following year, he was selected to join the space programme. His first flight was a long test flight on Soyuz 13 in 1973. This was followed by a mission to the Salyut 4 space station on Soyuz 18 in 1975. From 1976 he became involved in the Intercosmos and made his third and final spaceflight on an Intercosmos flight with Polish cosmonaut Mirosław Hermaszewski on Soyuz 30 in 1978. He resigned from the cosmonaut team in 1978 to take up a position as the Assistant to the Chief of the Gagarin Cosmonaut Training Center. In 1991 he was promoted to Chief of that facility and remained in that post until retirement in 2003. Klimuk is a graduate of the Gagarin Air Force Academy and the Lenin Military-Political Academy. He is the author of two books on human spaceflight: Beside the Stars, and Attack on Weightlessness.",Astronauts,"[(""Benedetto D'Epiro"", 'PERSON'), ('26 April 1977', 'DATE'), ('Rome', 'GPE'), ('Benny the Chef', 'WORK_OF_ART'), ('Italian', 'NORP')]","[(""Benedetto D'Epiro"", 'PERSON'), ('26 April 1977', 'DATE'), ('Rome', 'GPE'), ('Benny the Chef', 'WORK_OF_ART'), ('Italian', 'NORP')]"
"Pyotr Ivanovich Kolodin (Russian: Пётр Иванович Колодин; 23 September 1930 – 4 February 2021) was a Soviet cosmonaut. Although he retired in 1983 without flying in space, Kolodin served non-flying assignments on several spaceflights.",Astronauts,"[('Priya Krishna', 'PERSON'), ('Indian-American', 'NORP'), ('YouTube', 'ORG'), ('The New York Times', 'ORG'), ('The New Yorker', 'ORG'), ('Eater', 'PERSON'), ('TASTE', 'ORG'), ('Indian', 'NORP'), ('Krishna', 'GPE'), ('Bon Appétit', 'PERSON'), ('YouTube', 'ORG'), ('2018', 'DATE'), ('2020', 'DATE'), ('Lucky Peach', 'PERSON'), ('David Chang', 'PERSON'), ('2021', 'DATE'), ('Chang', 'PERSON'), ('Love My Microwave', 'WORK_OF_ART')]","[('Priya Krishna', 'PERSON'), ('Indian - American', 'NORP'), ('YouTube', 'ORG'), ('The New York Times', 'ORG'), ('The New Yorker , Eater', 'WORK_OF_ART'), ('TASTE', 'WORK_OF_ART'), ('Indian', 'NORP'), ('Krishna', 'PERSON'), ('Bon Appétit', 'ORG'), ('YouTube', 'PRODUCT'), ('2018', 'DATE'), ('2020', 'DATE'), ('Lucky Peach', 'ORG'), ('David Chang', 'PERSON'), ('2021', 'DATE'), ('Chang', 'PERSON'), ('Cooking at Home : Or , How I Learned to Stop Worrying About Recipes ( And Love My Microwave', 'WORK_OF_ART')]"
"Robert Michael ""Bob"" White (July 6, 1924 – March 17, 2010) (Maj Gen, USAF) was an American electrical engineer, test pilot, fighter pilot, and astronaut. He was one of twelve pilots who flew the North American X-15, an experimental spaceplane jointly operated by the Air Force and NASA. As an engineer, he supervised the design and development of several modern military aircraft. On July 17, 1962, he flew the X-15 to an altitude above 50 miles, thereby qualifying as an astronaut according to the United States definition of the boundary of space.",Astronauts,"[('Patricia Consolatrix Hilliard Robertson', 'PERSON'), ('March 12, 1963', 'DATE'), ('May 24, 2001', 'DATE'), ('American', 'NORP'), ('NASA', 'ORG'), ('the year', 'DATE'), ('the International Space Station', 'ORG')]","[('Patricia Consolatrix Hilliard Robertson', 'PERSON'), ('March 12 , 1963', 'DATE'), ('May 24 , 2001', 'DATE'), ('American', 'NORP'), ('NASA', 'ORG'), ('the year', 'DATE'), ('the International Space Station', 'FAC')]"
"Robert Lee ""Bobby"" Satcher Jr. (born September 22, 1965) is an American physician, chemical engineer, and former NASA astronaut. He participated in 2 spacewalks during STS-129, accumulating 12hrs 19min of EVA time. Satcher holds two doctorates (Ph.D., M.D.) and has received numerous awards and honors as a surgeon and engineer.",Astronauts,"[('Margaret Rhea Seddon', 'PERSON'), ('November 8, 1947', 'DATE'), ('American', 'NORP'), ('NASA', 'ORG'), ('first', 'ORDINAL'), ('1978', 'DATE'), ('three', 'CARDINAL'), ('US Navy', 'ORG'), ('the University of California, Berkeley', 'ORG'), ('the University of Tennessee College of Medicine, Seddon', 'ORG'), ('MD', 'GPE'), ('1973', 'DATE'), ('the University of Tennessee', 'ORG'), ('the General Surgery Residency Program', 'ORG'), ('Tennessee', 'GPE'), ('Mississippi', 'GPE'), ('Texas', 'GPE'), ('August 1979', 'DATE'), ('the year prior', 'DATE'), ('NASA', 'ORG'), ('the Shuttle Avionics Integration Laboratory', 'ORG'), ('the Flight Data File', 'ORG'), ('Space Shuttle', 'ORG'), ('STS-6', 'PERSON'), ('NASA', 'ORG'), ('Aerospace Medical Advisory Committee', 'ORG'), ('Flight Crew Operations', 'PRODUCT'), ('a Capsule Communicator', 'ORG'), ('CAPCOM', 'ORG'), ('the Mission Control Center', 'ORG'), ('1996', 'DATE'), ('NASA', 'ORG'), ('Vanderbilt University Medical School', 'ORG'), ('Nashville', 'GPE'), ('Tennessee', 'GPE'), ('Neurolab Spacelab', 'PERSON'), ('April 1998', 'DATE'), ('NASA', 'ORG'), ('November 1997', 'DATE'), ('the Vanderbilt Medical Group', 'ORG')]","[('Margaret Rhea Seddon', 'PERSON'), ('November 8 , 1947', 'DATE'), ('American', 'NORP'), ('NASA', 'ORG'), ('first', 'ORDINAL'), ('1978', 'DATE'), ('three', 'CARDINAL'), ('Space Shuttle', 'PRODUCT'), ('STS-51 - D and STS-40', 'ORG'), ('STS-58', 'PRODUCT'), ('722 hours', 'TIME'), ('US Navy', 'ORG'), ('the University of California , Berkeley', 'ORG'), ('the University of Tennessee College of Medicine', 'ORG'), ('Seddon', 'PERSON'), ('MD', 'WORK_OF_ART'), ('1973', 'DATE'), ('the University of Tennessee', 'ORG'), ('the General Surgery Residency Program', 'ORG'), ('Tennessee', 'GPE'), ('Mississippi', 'GPE'), ('Texas', 'GPE'), ('Seddon', 'PERSON'), ('August 1979', 'DATE'), ('the year', 'DATE'), ('NASA', 'ORG'), ('Space Shuttle Orbiter', 'PRODUCT'), ('the Shuttle Avionics Integration Laboratory', 'ORG'), ('the Flight Data File', 'PRODUCT'), ('the Space Shuttle', 'PRODUCT'), ('Space Shuttle', 'ORG'), ('STS-6', 'ORG'), ('NASA', 'ORG'), ('Aerospace Medical Advisory Committee', 'ORG'), ('Flight Crew Operations', 'ORG'), ('Capsule Communicator', 'PRODUCT'), ('CAPCOM', 'ORG'), ('the Mission Control Center', 'FAC'), ('1996', 'DATE'), ('NASA', 'ORG'), ('Vanderbilt University Medical School', 'ORG'), ('Nashville', 'GPE'), ('Tennessee', 'GPE'), ('STS-90 Neurolab Spacelab', 'PRODUCT'), ('April 1998', 'DATE'), ('NASA', 'ORG'), ('November 1997', 'DATE'), ('the Vanderbilt Medical Group', 'ORG')]"
"Robert Brent ""Bob"" Thirsk, OC OBC (born August 17, 1953) is a Canadian engineer and physician, and a former Canadian Space Agency astronaut. He holds the Canadian record for the most time spent in space (204 days 18 hours). He became an officer of the Order of Canada (OC) in 2013 and was named to the Order of British Columbia (OBC) in 2012.",Astronauts,"[('John Watts Young', 'PERSON'), ('September 24, 1930 – January 5, 2018', 'DATE'), ('American', 'NORP'), ('ninth', 'ORDINAL'), ('Moon', 'PERSON'), ('Apollo 16', 'LAW'), ('1972', 'DATE'), ('four', 'CARDINAL'), ('Gemini', 'GPE'), ('Apollo', 'ORG'), ('the Apollo Lunar Module', 'ORG'), ('Young', 'PERSON'), ('Bachelor of Science', 'ORG'), ('Aeronautical Engineering', 'ORG'), ('the Georgia Institute of Technology', 'ORG'), ('the U.S. Navy', 'ORG'), ('the Korean War', 'EVENT'), ('U.S.', 'GPE'), ('Navy', 'ORG'), ('1976', 'DATE'), ('1962', 'DATE'), ('Young', 'PERSON'), ('NASA', 'ORG'), ('first', 'ORDINAL'), ('Gemini', 'GPE'), ('3', 'CARDINAL'), ('1965', 'DATE'), ('1966', 'DATE'), ('Gemini 10', 'EVENT'), ('1969', 'DATE'), ('Apollo 10', 'LAW'), ('1972', 'DATE'), ('Apollo 16', 'LAW'), ('three days', 'DATE'), ('Charles Duke', 'PERSON'), ('STS-1', 'ORG'), ('1981', 'DATE'), ('Space Shuttle', 'ORG'), ('first', 'ORDINAL'), ('STS-9', 'PERSON'), ('1983', 'DATE'), ('Columbia', 'ORG'), ('one', 'CARDINAL'), ('only two', 'CARDINAL'), ('Ken Mattingly', 'PERSON'), ('Apollo 16', 'LAW'), ('Apollo', 'ORG'), ('the Astronaut Office', 'ORG'), ('1974', 'DATE'), ('1987', 'DATE'), ('NASA', 'ORG'), ('2004', 'DATE'), ('42 years', 'DATE')]","[('John Watts Young', 'PERSON'), ('September 24 , 1930', 'DATE'), ('January 5 , 2018', 'DATE'), ('American', 'NORP'), ('ninth', 'ORDINAL'), ('Moon', 'PERSON'), ('Apollo 16', 'PRODUCT'), ('1972', 'DATE'), ('four', 'CARDINAL'), ('Gemini', 'PRODUCT'), ('Apollo', 'PRODUCT'), ('the Apollo Lunar Module', 'PRODUCT'), ('the Space Shuttle', 'PRODUCT'), ('Young', 'PERSON'), ('Bachelor of Science degree in Aeronautical Engineering', 'WORK_OF_ART'), ('the Georgia Institute of Technology', 'ORG'), ('the U.S. Navy', 'ORG'), ('the Korean War', 'EVENT'), ('the U.S. Naval Test Pilot School', 'ORG'), ('Young', 'PERSON'), ('Navy', 'ORG'), ('1976', 'DATE'), ('1962', 'DATE'), ('Young', 'PERSON'), ('NASA', 'ORG'), ('2', 'CARDINAL'), ('first', 'ORDINAL'), ('Gemini', 'PRODUCT'), ('Gemini 3', 'PRODUCT'), ('1965', 'DATE'), ('1966', 'DATE'), ('Gemini 10', 'EVENT'), ('1969', 'DATE'), ('Apollo 10', 'PRODUCT'), ('1972', 'DATE'), ('Apollo 16', 'PERSON'), ('three days', 'DATE'), ('the Descartes Highlands', 'LOC'), ('Charles Duke', 'PERSON'), ('Young', 'PERSON'), ('1981', 'DATE'), ('Space Shuttle', 'ORG'), ('first', 'ORDINAL'), ('STS-9', 'ORG'), ('1983', 'DATE'), ('Columbia', 'GPE'), ('one', 'CARDINAL'), ('two', 'CARDINAL'), ('Ken Mattingly', 'PERSON'), ('Apollo 16', 'PRODUCT'), ('Apollo', 'PRODUCT'), ('Space Shuttle', 'ORG'), ('the Space Shuttle', 'FAC'), ('Young', 'PERSON'), ('the Astronaut Office', 'ORG'), ('1974 to 1987', 'DATE'), ('NASA', 'ORG'), ('2004', 'DATE'), ('42 years', 'DATE')]"
